Volcano Number,Volcano Name,Primary Volcano Type,Last Eruption Year,Country,Latitude,Longitude,Elevation,Population within 5 km,Population within 10 km,Population within 30 km,Population within 100 km,Region,Subregion,Tectonic Settings,Evidence Category,Major Rock 1,Major Rock 2,Major Rock 3,Major Rock 4,Major Rock 5,Minor Rock 1,Minor Rock 2,Minor Rock 3,Minor Rock 4,Minor Rock 5
241102,Tangaroa,Stratovolcano,Unknown,New Zealand,-36.321,178.028,-600,0,0,0,0,New Zealand to Fiji,New Zealand,Subduction zone / Oceanic crust (< 15 km),Unrest / Holocene,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , 
266130,Tangkoko-Duasudara,Stratovolcano,1880,Indonesia,1.518,125.185,1334,445,57792,135761,1227998,Indonesia,Sulawesi,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite, , , , , , , 
263090,Tangkuban Parahu,Stratovolcano,2019,Indonesia,-6.77,107.6,2084,100608,518822,5729309,32855731,Indonesia,Java,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , 
290310,Tao-Rusyr Caldera,Stratovolcano,1952,Russia,49.34,154.725,1272,0,73,83,394,Kuril Islands,Kuril Islands,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , 
264260,"Tara, Batu",Stratovolcano,2015,Indonesia,-7.791,123.585,633,207,207,207,455429,Indonesia,Lesser Sunda Islands,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , , , , , , , 
268001,Tarakan,Pyroclastic cone(s),Unknown,Indonesia,1.832,127.825,317,18056,23570,85055,360761,Indonesia,Halmahera,Subduction zone / Oceanic crust (< 15 km),Evidence Credible,Basalt / Picro-Basalt, , , , , , , , , 
241030,Taranaki,Stratovolcano,1800,New Zealand,-39.3,174.07,2518,200,230,77381,104499,New Zealand to Fiji,New Zealand,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite, , , , ,Basalt / Picro-Basalt, , , , 
303010,Taryatu-Chulutu,Volcanic field,-2980,Mongolia,48.133,99.95,2326,5602,5602,5602,29050,Kamchatka and Mainland Asia,Mongolia,Intraplate / Continental crust (>25 km),Eruption Dated,Trachybasalt / Tephrite Basanite,Phono-tephrite /  Tephri-phonolite,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite,Andesite / Basaltic Andesite, , , , , 
221106,Tat Ali,Shield,Unknown,Ethiopia,13.284,41.063,655,32,44,2130,100598,Africa and Red Sea,Africa (northeastern) and Red Sea,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Rhyolite,Trachyte / Trachydacite, , , , , 
355032,Tata Sabaya,Stratovolcano,Unknown,Bolivia,-19.13,-68.53,5430,97,519,6266,40064,South America,"Northern Chile, Bolivia and Argentina",Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite, , , , , , , , , 
281032,Tatun Volcanic Group,Lava dome(s),648,Taiwan,25.178,121.553,1120,5084149,5084149,6735396,9862061,"Japan, Taiwan, Marianas",Taiwan,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite, , , , ,Basalt / Picro-Basalt, , , , 
244001,Ta'u,Shield,Unknown,United States,-14.23,-169.454,931,95,1154,1538,1538,New Zealand to Fiji,Samoan and Wallis Islands,Subduction zone / Oceanic crust (< 15 km),Evidence Credible,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , , , 
300160,Taunshits,Stratovolcano,-550,Russia,54.528,159.804,2301,0,0,186,11110,Kamchatka and Mainland Asia,Kamchatka Peninsula,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite, , , , , , , , , 
241070,Taupo,Caldera,260,New Zealand,-38.7811,175.893,760,21456,21456,26674,161966,New Zealand to Fiji,New Zealand,Subduction zone / Continental crust (>25 km),Eruption Dated,Rhyolite, , , , ,Dacite,Basalt / Picro-Basalt, , , 
245010,Taveuni,Shield,1550,Fiji,-16.8412,-179.9644,1241,692,3220,19186,146131,New Zealand to Fiji,Fiji Islands,Subduction zone / Crustal thickness unknown,Eruption Dated,Basalt / Picro-Basalt, , , , ,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , , 
252150,Tavui,Caldera,-4946,Papua New Guinea,-4.1089,152.2134,200,30373,30373,152530,259182,Melanesia and Australia,New Britain,Subduction zone / Continental crust (>25 km),Eruption Dated,Rhyolite, , , , ,Basalt / Picro-Basalt, , , , 
