Volcano Number,Volcano Name,Primary Volcano Type,Last Eruption Year,Country,Latitude,Longitude,Elevation,Population within 5 km,Population within 10 km,Population within 30 km,Population within 100 km,Region,Subregion,Tectonic Settings,Evidence Category,Major Rock 1,Major Rock 2,Major Rock 3,Major Rock 4,Major Rock 5,Minor Rock 1,Minor Rock 2,Minor Rock 3,Minor Rock 4,Minor Rock 5
283001,Abu,Volcanic field,-6850,Japan,34.4833,131.5167,641,3597,9594,117805,4071152,"Japan, Taiwan, Marianas",Honshu,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite, , , , , , , 
355096,Acamarachi,Stratovolcano,Unknown,Chile,-23.292,-67.618,6023,0,7,294,9092,South America,"Northern Chile, Bolivia and Argentina",Subduction zone / Continental crust (>25 km),Evidence Credible,Dacite,Andesite / Basaltic Andesite, , , , , , , , 
342080,Acatenango,Stratovolcano(es),1972,Guatemala,14.501,-90.876,3976,4329,60730,1042836,7634778,México and Central America,Guatemala,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , ,Basalt / Picro-Basalt, , , , 
321040,Adams,Stratovolcano,950,United States,46.206,-121.49,3742,0,70,4019,393303,Canada and Western USA,USA (Washington),Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,Dacite, , , , 
333050,Adams Seamount,Lava dome,-50,United Kingdom,-25.37,-129.27,-39,0,0,0,44,Hawaii and Pacific Ocean,Pacific Ocean (central),Intraplate / Oceanic crust (< 15 km),Eruption Dated,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyte / Trachydacite, , ,Trachyandesite / Basaltic Trachyandesite,Andesite / Basaltic Andesite, , , 
283170,Adatarayama,Stratovolcano(es),1996,Japan,37.647,140.281,1728,428,3936,717078,5024654,"Japan, Taiwan, Marianas",Honshu,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite, , , , ,Dacite,Basalt / Picro-Basalt, , , 
221170,Adwa,Stratovolcano,Unknown,Ethiopia,10.063,40.831,1670,101,485,18645,1242922,Africa and Red Sea,Africa (northeastern) and Red Sea,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Rhyolite,Basalt / Picro-Basalt,Trachyte / Trachydacite, , , , , , , 
221110,Afdera,Stratovolcano,Unknown,Ethiopia,13.088,40.853,1250,51,6042,8611,161009,Africa and Red Sea,Africa (northeastern) and Red Sea,Rift zone / Intermediate crust (15-25 km),Evidence Uncertain,Rhyolite, , , , ,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Andesite / Basaltic Andesite, , 
284160,Agrigan,Stratovolcano,1917,United States,18.77,145.67,965,0,0,0,0,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",Subduction zone / Crustal thickness unknown,Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , 
342100,Agua,Stratovolcano,Unknown,Guatemala,14.465,-90.743,3760,9890,114404,2530449,7441660,México and Central America,Guatemala,Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite, , , , ,Dacite, , , , 
382090,Agua de Pau,Stratovolcano,1564,Portugal,37.77,-25.47,947,406,17272,113131,119653,Atlantic Ocean,Azores,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Trachyte / Trachydacite,Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite, , , , , , 
358062,Aguilera,Stratovolcano,-1253,Chile,-50.33,-73.75,2546,0,0,103,5698,South America,Southern Chile and Argentina,Subduction zone / Continental crust (>25 km),Eruption Dated,Dacite, , , , , , , , , 
264020,Agung,Stratovolcano,2019,Indonesia,-8.343,115.508,2997,5657,76781,968381,4550176,Indonesia,Lesser Sunda Islands,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite, , , , , , , , , 
284141,Ahyi,Stratovolcano,2024,United States,20.42,145.03,-75,0,0,0,0,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",Subduction zone / Crustal thickness unknown,Eruption Dated,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , 
282080,Aira,Caldera,2024,Japan,31.5772,130.6589,1117,4918,113874,905254,2610033,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite,Rhyolite, , , , , , , 
300125,Akademia Nauk,Stratovolcano(es),1996,Russia,53.98,159.45,1180,3,3,615,12484,Kamchatka and Mainland Asia,Kamchatka Peninsula,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , ,Basalt / Picro-Basalt,Rhyolite, , , 
283130,Akagisan,Stratovolcano,Unknown,Japan,36.56,139.193,1828,961,4538,1116366,16718375,"Japan, Taiwan, Marianas",Honshu,Subduction zone / Continental crust (>25 km),Evidence Uncertain,Andesite / Basaltic Andesite, , , , ,Dacite, , , , 
285070,Akan,Caldera,2008,Japan,43.384,144.013,1499,2062,2062,9756,929538,"Japan, Taiwan, Marianas",Hokkaido,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt,Rhyolite, , , , , , 
283069,Akandanayama,Stratovolcano,Unknown,Japan,36.2,137.573,2109,0,0,0,0,"Japan, Taiwan, Marianas",Honshu,,Evidence Credible, , , , , , , , , , 
283230,Akita-Komagatake,Stratovolcano(es),1971,Japan,39.761,140.799,1637,376,3864,216708,2521611,"Japan, Taiwan, Marianas",Honshu,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , 
283260,Akita-Yakeyama,Stratovolcano,1997,Japan,39.964,140.757,1366,127,721,55493,3122037,"Japan, Taiwan, Marianas",Honshu,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite, , , , ,Dacite, , , , 
282022,Akusekijima,Stratovolcano(es),Unknown,Japan,29.465,129.594,555,52,52,199,749,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,Subduction zone / Oceanic crust (< 15 km),Evidence Uncertain,Andesite / Basaltic Andesite,Dacite, , , , , , , , 
311320,Akutan,Stratovolcano,1992,United States,54.134,-165.986,1303,0,24,233,4361,Alaska,Aleutian Islands,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite, , ,Trachyte / Trachydacite,Dacite, , , 
290390,Alaid,Stratovolcano,2022,Russia,50.861,155.565,2285,0,64,64,2887,Kuril Islands,Kuril Islands,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , 
284180,Alamagan,Stratovolcano,870,United States,17.6,145.83,744,0,0,0,0,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",Subduction zone / Crustal thickness unknown,Eruption Dated,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , 
221112,Alayta,Shield,1915,Ethiopia,12.888,40.573,1496,156,925,13459,330411,Africa and Red Sea,Africa (northeastern) and Red Sea,Rift zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,Trachyte / Trachydacite,Trachyandesite / Basaltic Trachyandesite, , , , , , , 
353040,Alcedo,Shield,1993,Ecuador,-0.43,-91.12,1130,290,290,388,10756,South America,Galapagos Islands,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt, , , , ,Rhyolite,Dacite,Andesite / Basaltic Andesite, , 
221090,Ale Bagu,Stratovolcano,Unknown,Ethiopia,13.512,40.631,988,2,919,8424,278270,Africa and Red Sea,Africa (northeastern) and Red Sea,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Basalt / Picro-Basalt,Trachyte / Trachydacite,Rhyolite, , , , , , , 
221040,Alid,Stratovolcano,Unknown,Eritrea,14.88,39.92,904,517,2447,25942,1216179,Africa and Red Sea,Africa (northeastern) and Red Sea,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Rhyolite,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite, , , , , 
352031,Aliso,Stratovolcano,-2450,Ecuador,-0.53,-78,4267,0,0,0,0,South America,Ecuador,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Rhyolite,Dacite, , , , , , , 
320020,Alligator Lake,Volcanic field,Unknown,Canada,60.42,-135.42,2217,0,0,47,20636,Canada and Western USA,Canada,Intraplate / Continental crust (>25 km),Evidence Credible,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , , , 
342040,Almolonga,Stratovolcano,1818,Guatemala,14.797,-91.519,3173,91323,287487,1126942,6828403,México and Central America,Guatemala,Subduction zone / Continental crust (>25 km),Eruption Observed,Dacite,Andesite / Basaltic Andesite, , , ,Basalt / Picro-Basalt, , , , 
300450,Alney-Chashakondzha,Stratovolcano,1600,Russia,56.656,159.647,2570,0,0,3,10679,Kamchatka and Mainland Asia,Kamchatka Peninsula,Subduction zone / Continental crust (>25 km),Eruption Dated,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,Rhyolite,Dacite, , , 
221060,Alu-Dalafilla,Fissure vent(s),2008,Ethiopia,13.793,40.553,578,0,9,11209,478054,Africa and Red Sea,Africa (northeastern) and Red Sea,Rift zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Trachyte / Trachydacite,Rhyolite, , , , , , 
221270,Aluto,Stratovolcano,1550,Ethiopia,7.77,38.78,2335,6011,25619,314216,6813710,Africa and Red Sea,Africa (northeastern) and Red Sea,Rift zone / Continental crust (>25 km),Eruption Dated,Rhyolite,Dacite,Basalt / Picro-Basalt, , , , , , , 
311390,Amak,Stratovolcano,1796,United States,55.4184,-163.1472,547,0,0,0,1345,Alaska,Aleutian Islands,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite, , , , , , , , , 
268072,Amasing,Stratovolcano(es),Unknown,Indonesia,-0.5249,127.4956,1006,59,803,26015,92417,Indonesia,Halmahera,Subduction zone / Oceanic crust (< 15 km),Evidence Credible,Andesite / Basaltic Andesite, , , , , , , , , 
257030,Ambae,Shield,2023,Vanuatu,-15.389,167.835,1496,73,1279,4326,73308,Melanesia and Australia,Vanuatu,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt, , , , , , , , , 
273088,Ambalatungan Group,Compound,Unknown,Philippines,17.32,121.1,2329,493,3803,55724,4652400,Philippines and SE Asia,Luzon,Subduction zone / Continental crust (>25 km),Unrest / Holocene,Dacite,Andesite / Basaltic Andesite, , , , , , , , 
266020,Ambang,Complex,2005,Indonesia,0.75,124.42,1795,9155,46469,319137,1730602,Indonesia,Sulawesi,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite, , , , , , , , , 
254020,Ambitle,Stratovolcano,-350,Papua New Guinea,-4.08,153.65,450,1643,9195,9779,24367,Melanesia and Australia,New Ireland,Subduction zone / Crustal thickness unknown,Eruption Dated,Phono-tephrite /  Tephri-phonolite,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt,Trachyte / Trachydacite, , , , , 
233011,Ambre-Bobaomby,Volcanic field,Unknown,Madagascar,-12.6,49.15,1475,20396,20396,51426,408436,Middle East and Indian Ocean,Indian Ocean (western),Intraplate / Continental crust (>25 km),Evidence Credible,Basalt / Picro-Basalt,Rhyolite,Trachyte / Trachydacite,Phonolite,Foidite, , , , , 
257040,Ambrym,Shield(pyroclastic),2024,Vanuatu,-16.25,168.12,1334,9,186,10826,63999,Melanesia and Australia,Vanuatu,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Dacite, , , , , , , 
234001,Amsterdam Island,Stratovolcano,Unknown,France,-37.83,77.52,881,0,0,0,0,Middle East and Indian Ocean,Indian Ocean (southern),Rift zone / Oceanic crust (< 15 km),Evidence Credible,Basalt / Picro-Basalt, , , , , , , , , 
311190,Amukta,Stratovolcano,1997,United States,52.5,-171.252,1066,0,0,0,0,Alaska,Aleutian Islands,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Andesite / Basaltic Andesite, , , , , , , , , 
284200,Anatahan,Stratovolcano,2008,United States,16.35,145.67,790,0,0,0,0,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite, , , , , , 
354004,Andahua-Orcopampa,Volcanic field,1490,Peru,-15.42,-72.33,4713,10317,10317,16541,171897,South America,Peru,Subduction zone / Continental crust (>25 km),Eruption Dated,Trachyandesite / Basaltic Trachyandesite, , , , ,Trachyte / Trachydacite, , , , 
390023,Andrus,Shield(s),Unknown,Antarctica,-75.8,-132.33,2978,0,0,0,0,Antarctica,Antarctica and South Sandwich Islands,Intraplate / Continental crust (>25 km),Evidence Uncertain,Trachyte / Trachydacite,Rhyolite,Trachyandesite / Basaltic Trachyandesite, , , , , , , 
312090,Aniakchak,Caldera,1931,United States,56.88,-158.17,1341,0,0,36,479,Alaska,Alaska Peninsula,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , ,Basalt / Picro-Basalt,Trachyte / Trachydacite,Trachyandesite / Basaltic Trachyandesite, , 
233013,Ankaizina Field,Volcanic field,Unknown,Madagascar,-14.3,48.67,2878,9628,9628,41916,637393,Middle East and Indian Ocean,Indian Ocean (western),Intraplate / Continental crust (>25 km),Evidence Credible,Basalt / Picro-Basalt, , , , , , , , , 
357153,Antillanca Volcanic Complex,Stratovolcano(es),-230,Chile,-40.783,-72.15,1979,87,521,5986,530586,South America,Central Chile and Argentina,Subduction zone / Continental crust (>25 km),Eruption Dated,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , 
352030,Antisana,Stratovolcano,1802,Ecuador,-0.481,-78.141,5753,232,2220,56154,3314142,South America,Ecuador,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , , , , , , 
355180,Antofagasta Volcanic Field,Volcanic field,Unknown,Argentina,-26.12,-67.4,3495,188,188,257,4295,South America,"Northern Chile, Bolivia and Argentina",Subduction zone / Continental crust (>25 km),Evidence Uncertain,Andesite / Basaltic Andesite, , , , , , , , , 
357080,Antuco,Stratovolcano,1869,Chile,-37.406,-71.349,2979,117,474,3872,381623,South America,Central Chile and Argentina,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , 
284060,Aogashima,Stratovolcano,1785,Japan,32.458,139.759,423,232,232,232,8559,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , 
358024,Apagado,Pyroclastic cone,-590,Chile,-41.88,-72.58,1210,5,44,4474,354002,South America,Southern Chile and Argentina,Subduction zone / Continental crust (>25 km),Eruption Dated,Basalt / Picro-Basalt, , , , , , , , , 
343010,Apaneca Range,Stratovolcano(es),Unknown,El Salvador,13.872,-89.742,2028,11141,151502,1113282,6215853,México and Central America,El Salvador and Honduras,Subduction zone / Continental crust (>25 km),Evidence Credible,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite,Dacite,Rhyolite, , , , , 
343071,Apastepeque Field,Volcanic field,Unknown,El Salvador,13.72,-88.77,700,377730,377730,687849,6372608,México and Central America,El Salvador and Honduras,Subduction zone / Continental crust (>25 km),Evidence Credible,Dacite,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , 
271030,Apo,Stratovolcano,Unknown,Philippines,6.989,125.269,2938,1355,5431,767800,7768291,Philippines and SE Asia,Mindanao,Subduction zone / Continental crust (>25 km),Unrest / Holocene,Andesite / Basaltic Andesite,Dacite, , , , , , , , 
344091,Apoyeque,Caldera,-50,Nicaragua,12.242,-86.342,518,2369,116718,1342581,3445854,México and Central America,Nicaragua,Subduction zone / Continental crust (>25 km),Eruption Dated,Dacite,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , 
355160,Aracar,Stratovolcano,Unknown,Argentina,-24.29,-67.783,6095,0,0,94,4803,South America,"Northern Chile, Bolivia and Argentina",Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite,Dacite, , , , , , , , 
214060,Aragats,Stratovolcano,Unknown,Armenia,40.53,44.2,4095,0,163,150143,3046562,Mediterranean and Western Asia,Western Asia,Intraplate / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite,Rhyolite, , , , , , 
343101,"Aramuaca, Laguna",Maar,Unknown,El Salvador,13.428,-88.105,181,15772,132109,699308,3009012,México and Central America,El Salvador and Honduras,Subduction zone / Continental crust (>25 km),Evidence Credible,No Data (checked), , , , , , , , , 
213040,Ararat,Stratovolcano,1840,Turkiye,39.7,44.3,5165,25,1239,135563,2811646,Mediterranean and Western Asia,Turkey,Intraplate / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Rhyolite, , , , , 
221126,Ardoukoba,Fissure vent(s),1978,Djibouti,11.58,42.47,298,2895,2895,6898,560146,Africa and Red Sea,Africa (northeastern) and Red Sea,Rift zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Rhyolite, , , , , , , 
345033,Arenal,Stratovolcano,2010,Costa Rica,10.463,-84.703,1670,3429,15643,96512,3027485,México and Central America,Costa Rica,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,Dacite, , , , 
231090,"Arhab, Harra of",Volcanic field,500,Yemen,15.6025,44.0978,3100,284443,284443,820695,6517834,Middle East and Indian Ocean,Middle East (southern),Intraplate / Continental crust (>25 km),Eruption Observed,Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt, , , ,Trachyandesite / Basaltic Trachyandesite, , , , 
263290,Arjuno-Welirang,Stratovolcano,1952,Indonesia,-7.733,112.575,3343,2584,53983,4143137,25385433,Indonesia,Java,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , 
305011,Arxan-Chaihe,Volcanic field,0,China,47.45,120.8,1677,6435,6435,6435,188163,Kamchatka and Mainland Asia,China (eastern),Intraplate / Continental crust (>25 km),Eruption Dated,Basalt / Picro-Basalt, , , , , , , , , 
300058,Asacha,Complex,Unknown,Russia,52.355,157.827,1910,0,0,34,238467,Kamchatka and Mainland Asia,Kamchatka Peninsula,Subduction zone / Continental crust (>25 km),Evidence Credible,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,Dacite,Rhyolite, , , 
283110,Asamayama,Complex,2019,Japan,36.406,138.523,2568,583,22371,457576,7629353,"Japan, Taiwan, Marianas",Honshu,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , , , , , , 
221104,Asavyo,Shield,Unknown,Ethiopia,13.098,41.599,1338,84,479,7697,47836,Africa and Red Sea,Africa (northeastern) and Red Sea,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Basalt / Picro-Basalt,Rhyolite, , , , , , , , 
385050,Ascension,Stratovolcano,1508,United Kingdom,-7.95,-14.37,858,614,1149,1149,1149,Atlantic Ocean,Atlantic Ocean (central),Rift zone / Oceanic crust (< 15 km),Eruption Dated,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite,Rhyolite, , , , , 
231001,"Ash Shaam, Harrat",Volcanic field,-2670,Syria-Jordan-Saudi Arabia,32.333,37.583,1100,276996,276996,276996,276996,Middle East and Indian Ocean,Middle East (western),Intraplate / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , ,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite, , 
304030,Ashikule Volcanic Field,Volcanic field,1951,China,35.742,81.646,5090,1253,1253,3212,22621,Kamchatka and Mainland Asia,China (western),Intraplate / Continental crust (>25 km),Eruption Observed,Trachyte / Trachydacite, , , , , , , , , 
373060,Askja,Stratovolcano,1961,Iceland,65.033,-16.783,1080,0,0,0,13028,Iceland and Arctic Ocean,Iceland (northeastern),Rift zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt, , , , ,Rhyolite, , , , 
282110,Asosan,Caldera,2021,Japan,32.8849,131.085,1592,75559,75559,234591,6507519,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite,Rhyolite,Basalt / Picro-Basalt, , , , , , 
221125,Assab Volcanic Field,Volcanic field,Unknown,Eritrea,12.95,42.43,987,9,9,97,181952,Africa and Red Sea,Africa (northeastern) and Red Sea,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Basalt / Picro-Basalt, , , , , , , , , 
284150,Asuncion,Stratovolcano,1906,United States,19.671,145.406,857,0,0,0,0,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite, , , , , , , , , 
282070,Ata,Caldera(s),885,Japan,31.22,130.57,924,93134,93134,171590,1891380,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Rhyolite,Dacite,Basalt / Picro-Basalt, , , , , , 
352021,Atacazo,Stratovolcano,-320,Ecuador,-0.353,-78.617,4463,449,212988,1837303,3769593,South America,Ecuador,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Dacite, , , , , , , , 
225005,Atakor Volcanic Field,Volcanic field,Unknown,Algeria,23.33,5.83,2918,0,0,0,116453,Africa and Red Sea,Africa (northern),Intraplate / Continental crust (>25 km),Evidence Credible,Trachybasalt / Tephrite Basanite,Trachyte / Trachydacite,Phonolite, , ,Trachyandesite / Basaltic Trachyandesite,Phono-tephrite /  Tephri-phonolite, , , 
342060,Atitlan,Stratovolcano(es),1853,Guatemala,14.583,-91.186,3535,2303,70431,664649,8029695,México and Central America,Guatemala,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Rhyolite,Dacite, , ,Basalt / Picro-Basalt, , , , 
311160,Atka Volcanic Complex,Stratovolcano(es),2024,United States,52.331,-174.139,1518,0,0,207,207,Alaska,Aleutian Islands,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,Dacite,Andesite / Basaltic Andesite, , , , , , , 
320030,Atlin Volcanic Field,Pyroclastic cone(s),Unknown,Canada,59.708,-133.358,1880,0,0,94,956,Canada and Western USA,Canada,Intraplate / Continental crust (>25 km),Evidence Credible,Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt, , , ,Foidite, , , , 
341094,"Atlixcos, Los",Shield,Unknown,Mexico,19.81,-96.527,775,5792,13732,115456,2971490,México and Central America,Mexico,Subduction zone / Continental crust (>25 km),Evidence Credible,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,Dacite, , , , 
357023,"Atuel, Caldera del",Caldera,Unknown,Argentina,-34.592,-69.921,5189,297,297,1003,676916,South America,Central Chile and Argentina,Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt, , , , , , , 
241020,Auckland Volcanic Field,Volcanic field,1446,New Zealand,-36.89,174.81,260,1049110,1049110,1222436,1446768,New Zealand to Fiji,New Zealand,Intraplate / Continental crust (>25 km),Eruption Dated,Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt,Foidite, , , , , , , 
313010,Augustine,Lava dome(s),2006,United States,59.3626,-153.435,1218,0,0,0,759,Alaska,Alaska (southwestern),Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , ,Rhyolite,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite, , 
354001,"Auquihuato, Cerro",Pyroclastic cone,Unknown,Peru,-15.07,-73.18,4980,213,1324,12228,173927,South America,Peru,Subduction zone / Continental crust (>25 km),Evidence Uncertain,No Data (checked), , , , , , , , , 
300100,Avachinsky,Stratovolcano,2001,Russia,53.256,158.836,2717,0,0,180016,270205,Kamchatka and Mainland Asia,Kamchatka Peninsula,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,Dacite, , , , 
267040,Awu,Stratovolcano,2004,Indonesia,3.689,125.447,1318,6409,22655,52725,58719,Indonesia,Sangihe Islands,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , 
331021,Axial Seamount,Fissure vent(s),2015,Undersea Features,45.95,-130,-1410,0,0,0,0,Hawaii and Pacific Ocean,Pacific Ocean (northern),Rift zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt, , , , , , , , , 
221160,Ayelu,Stratovolcano,Unknown,Ethiopia,10.082,40.702,2145,193,1375,33262,1279214,Africa and Red Sea,Africa (northeastern) and Red Sea,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Rhyolite, , , , , , , , , 
302070,Azas Plateau,Volcanic field,Unknown,Russia,52.433,98.303,2765,142,142,142,4532,Kamchatka and Mainland Asia,Russia (southeastern),Rift zone / Continental crust (>25 km),Evidence Credible,Trachybasalt / Tephrite Basanite,Phono-tephrite /  Tephri-phonolite, , , ,Basalt / Picro-Basalt, , , , 
351090,Azufral,Stratovolcano,-930,Colombia,1.08,-77.68,4070,4334,40657,387292,1817609,South America,Colombia,Subduction zone / Continental crust (>25 km),Eruption Dated,Dacite,Andesite / Basaltic Andesite, , , , , , , , 
357060,"Azul, Cerro",Stratovolcano,1967,Chile,-35.653,-70.761,3788,9,158,3832,720948,South America,Central Chile and Argentina,Subduction zone / Continental crust (>25 km),Eruption Observed,Dacite,Andesite / Basaltic Andesite, , , ,Basalt / Picro-Basalt, , , , 
353060,"Azul, Cerro",Shield,2008,Ecuador,-0.92,-91.408,1640,220,220,314,1936,South America,Galapagos Islands,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt, , , , , , , , , 
283180,Azumayama,Stratovolcano(es),1977,Japan,37.735,140.244,1949,128,907,548195,4877648,"Japan, Taiwan, Marianas",Honshu,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , 
274030,Babuyan Claro,Stratovolcano(es),1924,Philippines,19.524,121.95,1064,208,222,222,11819,Philippines and SE Asia,North of Luzon,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , 
