Volcano Number,Eruption Number,Volcano Name,Area of Activity,VEI,Start Date,days,End Date,Eruption Category,Evidence Method (dating),Latitude,Longitude
300060,18963,Mutnovsky,,2,1904-04-02,85,1904-06-26,Confirmed Eruption,Observations: Reported,52.449,158.196
211060,13742,Etna,Central Crater,3,1863-05-01,85,1863-07-25,Confirmed Eruption,Observations: Reported,37.748,14.999
383060,13127,Lanzarote,"Tao, Nuevo del Fuego, Tinguatón",2,1824-07-31,85,1824-10-24,Confirmed Eruption,Observations: Reported,29.03,-13.63
264150,16268,Paluweh,Rokatenda,3,1972-10-22,86,1973-01-16,Confirmed Eruption,Observations: Reported,-8.32,121.708
282110,17330,Asosan,Naka-dake,1,1963-04-21,86,1963-07-16,Confirmed Eruption,Observations: Reported,32.884,131.104
344120,11047,Concepcion,,2,1883-04-05,86,1883-06-30,Confirmed Eruption,Observations: Reported,11.538,-85.622
343060,10831,Ilopango,"Islas Quemadas, Lake Ilopango",3,1879-12-31,86,1880-03-26,Confirmed Eruption,Observations: Reported,13.672,-89.053
268060,16632,Gamalama,,1,1842-10-06,86,1842-12-31,Confirmed Eruption,Observations: Reported,0.8,127.33
383030,13109,Tenerife,"NW rift zone (Siete Fuentes, Fasnia, Güímar)",2,1704-12-31,86,1705-03-27,Confirmed Eruption,Observations: Reported,28.271,-16.641
283110,17702,Asamayama,,2,1645-02-24,86,1645-05-21,Confirmed Eruption,Observations: Reported,36.406,138.523
290360,18855,Chikurachki,SSE part of summit crater,2,2002-01-25,87,2002-04-22,Confirmed Eruption,Observations: Reported,50.324,155.461
241100,14657,Ruapehu,,1,1988-12-08,87,1989-03-05,Confirmed Eruption,Observations: Reported,-39.28,175.57
351020,11289,"Ruiz, Nevado del",Arenas Crater,1,1984-12-22,87,1985-03-19,Confirmed Eruption,Observations: Reported,4.892,-75.324
274020,16877,Didicas,North side,2,1969-03-21,87,1969-06-16,Confirmed Eruption,Observations: Reported,19.077,122.202
300250,19346,Bezymianny,,2,1964-06-25,87,1964-09-20,Confirmed Eruption,Observations: Reported,55.972,160.595
332010,10090,Kilauea,Lower east rift zone (50-400 m),NA,1955-02-28,87,1955-05-26,Confirmed Eruption,Observations: Reported,19.421,-155.287
285040,18630,Shikotsu,Tarumai,1,1954-11-19,87,1955-02-14,Confirmed Eruption,Observations: Reported,42.688,141.38
282110,17285,Asosan,Naka-dake,2,1856-03-18,87,1856-06-13,Confirmed Eruption,Observations: Reported,32.884,131.104
358010,12232,Osorno,Summit & SSW side (Negrillar de Ensenada),3,1834-11-29,87,1835-02-24,Confirmed Eruption,Observations: Reported,-41.105,-72.496
373080,12946,Krafla,Leirhnjúkur crater row,2,1729-06-30,87,1729-09-25,Confirmed Eruption,Observations: Reported,65.715,-16.728
284130,18462,Fukutoku-Oka-no-Ba,,NA,1998-10-16,88,1999-01-12,Uncertain Eruption,,24.285,141.481
251050,14962,Long Island,Motmot,2,1968-03-16,88,1968-06-12,Confirmed Eruption,Observations: Reported,-5.358,147.12
282090,17153,Kirishimayama,Ohachi,2,1903-08-29,88,1903-11-25,Confirmed Eruption,Observations: Reported,31.934,130.862
251070,14968,Ritter Island,,NA,1848-04-13,88,1848-07-10,Uncertain Eruption,,-5.519,148.115
283110,17748,Asamayama,,4,1783-05-09,88,1783-08-05,Confirmed Eruption,Observations: Reported,36.406,138.523
255060,15176,Kavachi,,1,1999-02-16,89,1999-05-16,Confirmed Eruption,Observations: Reported,-8.991,157.979
261160,15493,Talang,NE flank (Panjang Crater),1,1986-07-16,89,1986-10-13,Uncertain Eruption,,-0.979,100.681
343100,10862,San Miguel,,1,1976-12-02,89,1977-03-01,Confirmed Eruption,Observations: Reported,13.434,-88.269
282110,17337,Asosan,Naka-dake,1,1975-10-16,89,1976-01-13,Confirmed Eruption,Observations: Reported,32.884,131.104
344070,10957,"Negro, Cerro",Summit and south flank,3,1960-09-28,89,1960-12-26,Confirmed Eruption,Observations: Reported,12.506,-86.702
283110,17777,Asamayama,,1,1917-05-03,89,1917-07-31,Confirmed Eruption,Observations: Reported,36.406,138.523
