Year,Mo,Dy,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Total Deaths,Total Injuries,Total Houses Destroyed
1812,8,6,Awu,Sangihe Is-Indonesia,Indonesia,3.689,125.447,1318,Stratovolcano,3,953,,
1814,2,1,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,4,1200,,
1815,4,10,Tambora,Lesser Sunda Is,Indonesia,-8.25,118,2850,Stratovolcano,7,60000,,
1816,7,5,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,2,1,,
1822,3,9,Toya,Hokkaido-Japan,Japan,42.544,140.839,733,Stratovolcano,4,50,53,
1822,10,8,Galunggung,Java,Indonesia,-7.25,108.058,2168,Stratovolcano,5,4011,,
1822,12,27,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,3,100,,
1832,12,25,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,3,32,,
1833,11,24,Kaba,Sumatra,Indonesia,-3.522,102.615,1940,Stratovolcano,2,126,,
1838,2,26,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.33,1715,Stratovolcano,2,4,,
1840,7,2,Ararat,Turkey,Turkey,39.7,44.3,5165,Stratovolcano,3,1900,,
1843,8,,Lamongan,Java,Indonesia,-7.981,113.341,1641,Stratovolcano,2,4,,
1843,11,17,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,2,56,,
1845,2,19,"Ruiz, Nevado del",Colombia,Colombia,4.892,-75.324,5279,Stratovolcano,3,1000,,
1846,5,7,Taupo,New Zealand,New Zealand,-38.82,176,760,Caldera,,63,,
1848,5,16,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,2,21,,800
1853,6,24,Niuafo'ou,Tonga-SW Pacific,Tonga,-15.6,-175.63,260,Shield volcano,0,25,,
1853,7,13,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,3,34,,
1854,2,,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,2,3,,
1856,3,2,Awu,Sangihe Is-Indonesia,Indonesia,3.689,125.447,1318,Stratovolcano,3,2806,,
1856,9,25,Hokkaido-Komagatake,Hokkaido-Japan,Japan,42.063,140.677,1131,Stratovolcano,4,25,,
1860,,,Grimsvotn,Iceland-NE,Iceland,64.416,-17.316,1719,Caldera,,1,,
1861,5,7,Dubbi,Africa-NE,Eritrea,13.579,41.809,1625,Stratovolcano,3,106,,
1861,12,29,Kie Besi,Halmahera-Indonesia,Indonesia,0.32,127.4,1357,Stratovolcano,4,326,47,
1864,1,3,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,2,54,,
1866,2,20,Santorini,Greece,Greece,36.404,25.396,367,Shield volcano,2,1,,
1867,10,21,Zaozan [Zaosan],Honshu-Japan,Japan,38.144,140.44,1841,Complex volcano,2,3,,
1869,7,7,Lewotobi,Lesser Sunda Is,Indonesia,-8.542,122.775,1703,Stratovolcano,2,2,,
1869,8,,Lamongan,Java,Indonesia,-7.981,113.341,1641,Stratovolcano,2,8,,
1871,8,7,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.33,1715,Stratovolcano,2,1,1,
1871,12,8,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,3,3,,
